pasin     , title                                                                                                   , ranking, grp         , srank
0880881658, Baby'S Record Keeper And Memory Box                                                                     ,       1, Baby Product,  1017
0385504209, The Da Vinci Code                                                                                       ,       1, Book        ,    19
0385730586, Sisterhood of the Traveling Pants (Sisterhood of Traveling Pants)                                       ,       2, Book        ,    21
0316346624, The Tipping Point: How Little Things Can Make a Big Difference                                          ,       3, Book        ,    23
0142001740, The Secret Life of Bees                                                                                 ,       4, Book        ,    26
0066620996, Good to Great: Why Some Companies Make the Leap... and Others Don't                                     ,       5, Book        ,    29
0671027360, Angels & Demons                                                                                         ,       6, Book        ,    31
0310205719, The Purpose-Driven Life: What on Earth Am I Here For?                                                   ,       7, Book        ,    32
0446677450, "Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",       8, Book        ,    37
1579546463, "The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss" ,       9, Book        ,    38
0156027321, Life of Pi                                                                                              ,      10, Book        ,    42
1567120709, SPELLING CORRECTOR                                                                                      ,       1, CE          , 39367
6305275149, "Hal Leonard Beginning Bass Guitar 1, Instructional Video, 30 Minutes"                                  ,       2, CE          , 69089
6305275173, "Hal Leonard Beginning Guitar 1, Instructional Video, 30 Minutes"                                       ,       3, CE          , 71678
1567125336, FRANKLIN COMP. KJB-1440 Electronic Holy Bible (King James Version)                                      ,       4, CE          , 84976
B00003CX5P, "Star Wars - Episode I, The Phantom Menace (Widescreen Edition)"                                        ,       1, DVD         ,    28
B00006CXSS, Band of Brothers                                                                                        ,       2, DVD         ,    47
B00001QEE7, The Little Mermaid (Limited Issue)                                                                      ,       3, DVD         ,    49
B00000JS62, The Wizard of Oz                                                                                        ,       4, DVD         ,    55
B00006HBUJ, "Star Wars - Episode II, Attack of the Clones (Widescreen Edition)"                                     ,       5, DVD         ,    85
B00005LC1H, Fawlty Towers - The Complete Collection                                                                 ,       6, DVD         ,    85
B00000JWVS, Jerry Seinfeld Live on Broadway: I'm Telling You for the Last Time                                      ,       7, DVD         ,    88
B00005O3VC, Monty Python and the Holy Grail (Special Edition)                                                       ,       8, DVD         ,    89
B00005JKFR, The Day the Earth Stood Still                                                                           ,       9, DVD         ,    90
B00004RFCM, Sex and the City - The Complete First Season                                                            ,      10, DVD         ,   102
B00004S36S, Buzz Buzz                                                                                               ,       1, Music       ,    27
B000069AUI, A Rush of Blood to the Head                                                                             ,       2, Music       ,    33
B000088E6D, Michael Bublé                                                                                           ,       3, Music       ,    42
B00005YW4H, Come Away with Me                                                                                       ,       4, Music       ,    46
B00006879E, Songs About Jane                                                                                        ,       5, Music       ,    53
B00000JFG3, Facing Future                                                                                           ,       6, Music       ,    55
B00004S36U, Victor Vito                                                                                             ,       7, Music       ,    62
B0000508U6, Parachutes                                                                                              ,       8, Music       ,    67
B00008NG5V, On And On                                                                                               ,       9, Music       ,    68
B00004ZAV3, The Beatles 1                                                                                           ,      10, Music       ,    69
157264317X, ClickArt Christian Publishing Suite 3                                                                   ,       1, Software    ,   200
B000001A3A, RINGDISC Wagner: The Ring Disc                                                                          ,       2, Software    ,   327
0310230691, Zondervan Bible Study Library: Leader's Edition 5.0                                                     ,       3, Software    ,  1955
B0000897BV, Just Enough Vocals The Learning Co                                                                      ,       4, Software    ,  3771
0735608377, WINDOWS NT SERVER V4.0 RESOURCE                                                                         ,       5, Software    ,  3828
B00002EPXM, Yoga Kit Living Arts                                                                                    ,       1, Sports      ,  4684
0963679600, IlluStory Book Kit                                                                                      ,       1, Toy         ,    59
1572810939, Wizard Card Game Deluxe                                                                                 ,       2, Toy         ,  1890
0963679678, Photostory Junior Book Kit                                                                              ,       3, Toy         ,  2288
B000059T05, Party Tyme Karaoke CD Oldies                                                                            ,       4, Toy         ,  4053
B000075A8O, Party Tyme Karaoke CD Kids Songs                                                                        ,       5, Toy         ,  7812
B000053W7W, Party Tyme Karaoke CD: V2 Super Hits                                                                    ,       6, Toy         , 10732
B000055XW3, The Songs of Britney Spears & Christina Aguilera                                                        ,       7, Toy         , 31296
0963679627, R- Photostory Senior                                                                                    ,       8, Toy         , 45241
6300215539, The War of the Worlds                                                                                   ,       1, Video       ,     1
6301627024, Shirley Valentine                                                                                       ,       2, Video       ,     2
B00005T33H, Leslie Sansone - Walk Away the Pounds - Super Fat Burning                                               ,       3, Video       ,     6
6302946387, Robin Hood - Men in Tights                                                                              ,       4, Video       ,     7
6301729897, Richard Simmons - Sweatin' to the Oldies                                                                ,       5, Video       ,     8
6300185788, Howard the Duck                                                                                         ,       6, Video       ,    12
6304015127, Charlotte's Web                                                                                         ,       7, Video       ,    14
6301773586, A Tree Grows in Brooklyn                                                                                ,       8, Video       ,    16
6304500831, The Jungle Book                                                                                         ,       9, Video       ,    17
B00006HBUG, "Star Wars - Episode II, Attack of the Clones"                                                          ,      10, Video       ,    17
0761542639, PRIMA PUBLISHING Dark Cloud 2 Official Strategy Guide                                                   ,       1, Video Games ,   339
